station,R_st,R_raw,R_v1,R_v2,PBIAS_R_raw,PBIAS_R_v1,PBIAS_R_v2
Верхнеуральск_28833_calib.csv,6576.513333333333,3015.050843599972,4239.207298164068,9637.616798531382,-54.154265478060225,-35.54020066107876,46.54599344735938
Верхний_Баскунчак_34579_calib.csv,4442.323333333334,2508.0381712062544,3778.0121417242235,9181.9329551467,-43.54219666121585,-14.954138673887092,106.69213531237855
Верхотурье_28144_calib.csv,8344.906666666666,4661.3978644138815,5952.8791051455955,18961.621594431417,-44.14080287999368,-28.66452145086189,127.22389059392019
Ветлуга_27277_calib.csv,9685.663333333334,5818.783874136564,9199.304351219333,22892.984686340136,-39.92374426115819,-5.021431835651263,136.35949235973996
Владикавказ_37228_calib.csv,30959.71,11789.04236348251,17901.611151023946,42665.8505848597,-61.92134111242479,-42.177716939131706,37.810885776577685
Волгоград_34561_calib.csv,7577.946666666667,3352.32479558589,4754.439294291755,10742.583715944505,-55.76209568309767,-37.25953080132848,41.76114175094712
Вологда_Прилуки_27037_calib.csv,9869.093333333334,6555.329261252254,6555.329261252254,21832.32678510908,-33.577188503108836,-33.577188503108836,121.21917432242081
Воронеж_34123_calib.csv,10396.6,4770.803139754449,6322.042105513803,22287.26749366653,-54.11189100518969,-39.1912538184233,114.3707317167779
Выборг_22892_calib.csv,8909.766666666666,7032.590322788517,9701.61812226194,20792.014230967376,-21.06874864524865,8.887454466768004,133.362050981141
Вытегра_22837_calib.csv,14643.466666666667,7290.109461317213,8842.940367015763,24410.96295431826,-50.21595891694217,-39.61170146175021,66.70207615445062
Гдов_26157_calib.csv,10059.280000000002,5084.001366982334,5084.001366982334,12096.478184172436,-49.459589881359975,-49.459589881359975,20.251928410109205
Гигант_34740_calib.csv,9151.353333333333,7366.070540382971,9724.282165037872,21565.8458553217,-19.50840195894919,6.260591311862865,135.6574494481512
Гогланд_22907_calib.csv,4871.58,7940.270819385996,5736.845667006382,0.0,62.99169508426417,17.761499698380863,-100.0
Готня_34202_calib.csv,8975.973333333335,5901.542838292496,5901.542838292496,15561.291094672462,-34.251778396261265,-34.251778396261265,73.36605754925512
Гридино_22422_calib.csv,6426.666666666667,5311.76719934376,6354.224672216569,18759.372590556224,-17.348020757099178,-1.1272094572110654,191.89895109786653
Грозный_37235_calib.csv,12825.696666666667,5797.742992460014,6912.404877856786,14822.724596372194,-54.795882491685205,-46.105033843332855,15.57052206681062
Гудермес_37244_calib.csv,11019.69,5083.264943617354,6538.2593171447115,15843.879329413518,-53.87107129495154,-40.66748413844027,43.777904182545214
Дебессы_28312_calib.csv,7681.0233333333335,5073.1394263032025,6587.501366032122,15715.51011599076,-33.95229768034552,-14.236670295683842,104.60177549246815
Дербент_37470_calib.csv,9216.366666666667,3770.9761125694286,3770.9761125694286,12059.190555271583,-59.083918327510524,-59.083918327510524,30.84538616379828
Домбаровский_35233_calib.csv,3050.333333333333,1918.8126577060962,1918.8126577060962,8646.470771398665,-37.09498444849427,-37.09498444849427,183.45986574359083
Дуван_28537_calib.csv,8951.916666666668,4762.375429319556,4762.375429319556,13869.751221937127,-46.800494166207734,-46.800494166207734,54.936107410187304
Екатеринбург_28440_calib.csv,9290.396666666667,3589.6974934695463,3589.6974934695463,13993.217048911647,-61.36120316208731,-61.36120316208731,50.62023238596894
Елабуга_28506_calib.csv,8286.106666666667,4175.683160613444,4712.73002700094,16418.818437281137,-49.6062103881504,-43.124917206783,98.14876995647096
Елатьма_27648_calib.csv,10604.583333333334,5852.667302832954,9002.672397017219,28055.057874247083,-44.810021111944174,-15.105835712383309,164.55596596673212
Елецкая_23220_calib.csv,4821.753333333334,3005.280027182719,3267.8827074407864,8880.865427939123,-37.672464362561364,-32.226257099268466,84.18332116959782
Ершов_34186_calib.csv,6455.68,3066.6862425404556,3066.6862425404556,12275.31993830177,-52.496309567071854,-52.496309567071854,90.14759000293958
Железнодорожный_26706_calib.csv,12955.196666666667,8593.001891667322,8593.001891667322,14892.413736532628,-33.671389846386056,-33.671389846386056,14.953204646058076
Жижгин_22438_calib.csv,4948.303333333333,4458.456083779569,3123.260128130401,6620.4615629015425,-9.899297123804006,-36.882201479219454,33.79255710344238
Зеленчукская_37112_calib.csv,19037.106666666667,12103.956462080303,16684.530191269507,35955.451490249354,-36.41913829650425,-12.357846791479307,88.87035787431995
Земетчино_27857_calib.csv,7075.146666666666,4921.840163849883,4921.840163849883,16578.886957629362,-30.434796680070473,-30.434796680070473,134.3257000697658
Зилаир_35026_calib.csv,7146.456666666667,2648.67147487461,4663.035737994889,12894.900303713108,-62.93727649355448,-34.75038112600946,80.43767569261281
Златоуст_28630_calib.csv,11733.333333333332,5523.177948125547,7014.652931841329,21865.502085302112,-52.92746066938454,-40.21602614907958,86.35371095427938
Ивдель_23921_calib.csv,10960.503333333334,4831.84106440387,4831.84106440387,14130.248219276997,-55.91588344570669,-55.91588344570669,28.919701856243787
Ижевск_28411_calib.csv,8114.796666666667,4311.545227208328,5920.568642206803,12663.449295041457,-46.86810521181684,-27.039839870210724,56.05380905056306
Им_Е_К_Федорова_20946_calib.csv,1918.5099999999998,2452.2290189846744,1458.9266733890167,2398.827539237557,27.81945462805379,-23.955221844607696,25.035967455867183
Им_Э_Т_Кренкеля_ГМО_20046_calib.csv,1924.3899999999999,859.8915403979015,1427.1001282240238,5246.256411146784,-55.31615003206722,-25.841428804762863,172.61918899738535
Индига_22292_calib.csv,3767.5533333333333,3252.28506056082,3082.7409983891475,5874.387792474388,-13.676469241024146,-18.17657971515163,55.920494621825
Инза_27872_calib.csv,8207.49,4072.5600811376835,4072.5600811376835,13225.84556562438,-50.379956830435574,-50.379956830435574,61.14360865044467
Ираель_23514_calib.csv,9030.93,5223.862561523437,7162.60106284761,15131.330107044878,-42.15587363069544,-20.688112266980152,67.55007631600375
Йошкар_Ола_27485_calib.csv,11202.35,5446.841433884457,6497.860025889289,17304.577810331364,-51.377689200172675,-41.995563199781394,54.47274732829597
Казань_27595_calib.csv,9368.603333333333,4372.253294557433,4877.507851896884,15942.940966868016,-53.330788603237906,-47.93772691236918,70.17414869240223
Калач_34247_calib.csv,9539.16,4914.489782653697,4914.489782653697,19897.12068438673,-48.48089577432712,-48.48089577432712,108.58357218441382
Калевала_22408_calib.csv,7284.606666666667,5006.517233069326,5006.517233069326,14806.968754190711,-31.27264844677966,-31.27264844677966,103.26380588186474
Калининград_26702_calib.csv,11160.82,9239.058761811202,11342.036521797727,21148.135372417775,-17.21881759753134,1.6236846557665763,89.48549813022498
Каменная_Степь_34139_calib.csv,11710.66,4784.024154490127,5416.451405330925,19185.28875527542,-59.14812525946336,-53.74768454270788,63.827561856252494
Кандалакша_22217_calib.csv,6551.816666666667,5236.578893833741,6858.699839765043,14349.315851394773,-20.07439828901794,4.683940175855194,119.01278044605603
Каневка_22249_calib.csv,4675.353333333333,3113.2920035793427,4125.477779155584,8417.949065670364,-33.41055142543217,-11.761155039499652,80.0494736013613
Канин_Нос_22165_calib.csv,4319.92,2778.4981136073357,3268.158801663397,8573.556614419822,-35.68172295766274,-24.346774901771404,98.46563395664322
Каргополь_22845_calib.csv,11074.216666666667,7022.415799807437,7754.205007883142,23129.78652900936,-36.5876972504532,-29.97965236472881,108.86160371622395
Кемь_порт_22520_calib.csv,8153.070000000001,5912.9077093638025,7410.785446689009,18957.55295544138,-27.47630390314566,-9.104356436422,132.52042427504463
Керчь_33983_calib.csv,8527.043333333335,8594.58510928083,8519.901552689986,18940.359579090302,0.7920890431442421,-0.08375447812527272,122.12106633784705
Кильмезь_28402_calib.csv,8280.713333333333,5592.148366356003,6181.832541666315,18517.92928815948,-32.46779424370038,-25.346618185877126,123.627223196063
Кирс_28009_calib.csv,10751.686666666666,6048.705856747229,8464.635879166839,18391.568948087286,-43.74179564309697,-21.271553556246626,71.05752351495195
Кисловодск_37123_calib.csv,15018.779999999999,7831.183470756644,11426.503955158645,26296.526506222108,-47.857392739246166,-23.918560927328013,75.09096282269338
Клухорский_перевал_37196_calib.csv,78399.61,17384.051951306432,47004.979733752,174935.83628246523,-77.82635404524788,-40.04437045828162,123.13355421342688
Ковдор_22204_calib.csv,5616.806666666667,3969.7947502382376,5745.0788936415665,13176.12215337565,-29.322923400635048,2.283721598183889,134.58386473528225
Койгородок_23904_calib.csv,11517.816666666666,6344.563632736312,8108.406569447229,15961.906646373038,-44.91522294240101,-29.601183938675618,38.58448270467672
Койнас_22583_calib.csv,7384.4366666666665,4766.418106981535,5308.67821932428,11112.961165026212,-35.4531926789062,-28.109909273274106,50.4916578835336
Колгуев_Северный_22095_calib.csv,1454.6666666666665,2252.2296987285586,1405.3563170539614,2373.4460830663697,54.82788946346646,-3.389804052202457,63.16082147568996
